Επιτελείο - Σχηματισμός,Α/Α (ανα σχηματισμό),Ανταποκριτής,Αριθμός SIP,Συσκευή
ΥΠΕΘΑ,1,ΥΦΥΠΟΥΡΓΟΣ ΕΘΝ. ΑΜΥΝΑΣ,10002,KINHTO
ΥΠΕΘΑ,2,ΥΠΟΥΡΓΟΣ ΕΘΝ. ΑΜΥΝΑΣ,10001,KINHTO
ΓΕΕΘΑ,1,ΔΔΕΕ/ΔΚΤΗΣ,11750,KINHTO
ΓΕΕΘΑ,2,ΔΔΕΕ/ΥΔΚΤΗΣ,11751,KINHTO
ΓΕΕΘΑ,3,«Δ1»,11752,KINHTO - TRACK HARP
ΓΕΕΘΑ,4,ΔΥΝΑΜΗ «Δ2»,11753,KINHTO - TRACK HARP
ΓΕΕΘΑ,5,ΔΔΕΕ/ΚΕΠΙΧ,11759,H/Y - TRACK HARP
ΓΕΕΘΑ,6,ΔΔΕΕ/ΚΕΠΙΧ,11760,KINHTO
ΓΕΕΘΑ,7,Ζ’ ΜΑΚ/ΔΚΤΗΣ,11786,KINHTO - TRACK HARP
ΓΕΕΘΑ,8,ΔΚΤΗΣ «Δ1»,11733,KINHTO - TRACK HARP
ΓΕΕΘΑ,9,ΔΚΤΗΣ 12Ω,11735,KINHTO - TRACK HARP
ΓΕΕΘΑ,10,ΒΕΕ (ΒΑΣΗ ΕΙΔ. ΕΠΙΧ),11737,KINHTO - TRACK HARP
ΓΕΕΘΑ,11,ΤΕΕ 2ου ΛΚ,11734,KINHTO - TRACK HARP
ΓΕΕΘΑ,12,ΤΕΕ 4ου ΛΚ,13411,KINHTO - TRACK HARP
ΓΕΕΘΑ,13,ΤΕΕ 3ου ΛΚ,11732,KINHTO - TRACK HARP
ΓΕΕΘΑ,14,ΤΕΕ 1ου ΛΚ,11736,KINHTO - TRACK HARP
ΓΕΕΘΑ,15,ΔΚΤΗΣ «Δ2»,11731,KINHTO - TRACK HARP
ΓΕΕΘΑ,16,ΥΔΚΤΗΣ 12Ω /Ζ’ΜΑΚ (ΕΦΕΔΡΙΚΟ),13410,KINHTO - TRACK HARP
ΓΕΕΘΑ,17,2ο ΤΕΕ 4ου ΛΚ /2η ΔΡΙΑ 12Ω,11708,KINHTO - TRACK HARP
ΓΕΕΘΑ,18,ΥΔΚΤΗΣ «Δ1 »,11705,KINHTO - TRACK HARP
ΓΕΕΘΑ,19,ΥΔΚΤΗΣ «Δ2»,11706,KINHTO - TRACK HARP
ΓΕΕΘΑ,20,2ο ΤΕΕ 3ου ΛΚ/1η ΔΡΙΑ 12Ω,11707,KINHTO - TRACK HARP
ΓΕΕΘΑ,21,ΑΞ/ΚΟΣ ΣΥΝΔΕΣΜΟΣ ΕΤΑ,11789,KINHTO - TRACK HARP
ΓΕΕΘΑ,22,ΒΕΕ ΕΤΑ (ΒΑΣΗ ΕΙΔ. ΕΠΙΧ),11790,KINHTO - TRACK HARP
ΓΕΕΘΑ,23,ΕΤΑ / 1η ΕΟ,11787,KINHTO - TRACK HARP
ΓΕΕΘΑ,24,ΕΤΑ/ΔΚΤΗΣ,11785,KINHTO - TRACK HARP
ΓΕΕΘΑ,25,ΕΤΑ / 2η ΕΟ,11788,KINHTO - TRACK HARP
ΓΕΕΘΑ,26,ΕΤΑ / 4η ΕΟ,11792,KINHTO
ΓΕΕΘΑ,27,ΕΤΑ / 3η ΕΟ,11791,KINHTO
ΓΕΕΘΑ,28,865 ΤΕΝΕΦ/ΔΚΤΗΣ,11755,KINHTO - TRACK HARP
ΓΕΕΘΑ,29,ΕΤΑ / 5η ΕΟ,11703,KINHTO
ΓΕΕΘΑ,30,ΕΤΑ / 6η ΕΟ,11704,KINHTO
ΓΕΕΘΑ,31,ΔΚΤΗΣ 1ου ΤΕΕ / ΕΤΑ,11728,KINHTO
ΓΕΕΘΑ,32,ΔΚΤΗΣ 2ου ΤΕΕ / ΕΤΑ,11756,KINHTO
ΓΕΕΘΑ,33,ΔΚΤΗΣ 3ου ΤΕΕ / ΕΤΑ,11757,KINHTO
ΓΕΕΘΑ,34,ΜΑΕΕ/ΔΚΤΗΣ,11758,KINHTO
ΓΕΕΘΑ,35,865 ΤΕΝΕΦ / 1ο ΑΕΡΟΠΛΗΡΩΜΑ,11830,KINHTO - TRACK HARP
ΓΕΕΘΑ,36,865 ΤΕΝΕΦ / 2ο ΑΕΡΟΠΛΗΡΩΜΑ,11831,KINHTO - TRACK HARP
ΓΕΕΘΑ,37,Ζ' ΜΑΚ/ΒΕΕ/ΚΕΠΙΧ,11738,H/Y - TRACK HARP
ΓΕΕΘΑ,38,Ζ' ΜΑΚ/ΑΞΚΟΣ 3ου ΓΡΑΦΕΙΟΥ,11653,KINHTO
ΓΕΕΘΑ,39,Ζ' ΜΑΚ/ΑΞΚΟΣ ΕΠΙΚΟΙΝΩΝΙΩΝ,11654,KINHTO
ΓΕΕΘΑ,40,Ζ' ΜΑΚ/ΔΚΤΗΣ ΤΜ/ΤΟΣ ΣΧ. ΧΕΛΜΟΣ,11655,KINHTO
ΓΕΕΘΑ,41,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης ΔΥΝΑΜΗΣ Δ1,11656,KINHTO
ΓΕΕΘΑ,42,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης ΔΥΝΑΜΗΣ Δ1,11657,KINHTO
ΓΕΕΘΑ,43,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης ΔΥΝΑΜΗΣ Δ2,11658,KINHTO
ΓΕΕΘΑ,44,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης ΔΥΝΑΜΗΣ Δ2,11662,KINHTO
ΓΕΕΘΑ,45,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 1ης 12ΩΡΗΣ,11663,KINHTO
ΓΕΕΘΑ,46,Ζ' ΜΑΚ/ΔΡΙΤΗΣ 2ης 12ΩΡΗΣ,11664,KINHTO
ΓΕΕΘΑ,47,ΕΤΑ/ΑΞΚΟΣ 3ου ΓΡΑΦΕΙΟΥ,11665,KINHTO - TRACK HARP
ΓΕΕΘΑ,48,ΕΤΑ/ΟΜΧΗΣ 1ης ΕΟ/1ου ΤΕΕ,11667,KINHTO
ΓΕΕΘΑ,49,ΕΤΑ/ΟΜΧΗΣ 2ης ΕΟ/1ου ΤΕΕ,11668,KINHTO
ΓΕΕΘΑ,50,ΕΤΑ/ΑΞΚΟΣ 4ου ΓΡΑΦΕΙΟΥ,11671,KINHTO - TRACK HARP
ΓΕΕΘΑ,51,ΕΤΑ/ΟΜΧΗΣ 1ης ΕΟ/2ου ΤΕΕ,11672,KINHTO - TRACK HARP
ΓΕΕΘΑ,52,ΕΤΑ/ΟΜΧΗΣ 2ης ΕΟ/2ου ΤΕΕ,11673,KINHTO - TRACK HARP
ΓΕΕΘΑ,53,ΕΤΑ/ΔΚΤΗΣ ΛΟΧΟΥ ΥΠΟΣΤΗΡΙΞΗΣ,11674,KINHTO - TRACK HARP
ΓΕΕΘΑ,54,ΕΤΑ/ΟΜΧΗΣ 1ης ΕΟ/3ου ΤΕΕ,11675,KINHTO
ΓΕΕΘΑ,55,ΕΤΑ/ΟΜΧΗΣ 2ης ΕΟ/3ου ΤΕΕ,11676,KINHTO
ΓΕΕΘΑ,56,ΕΤΑ/ΔΚΤΗΣ ΛΟΧΟΥ ΥΠ/ΞΗΣ ΜΑΧΗΣ,11677,KINHTO
ΓΕΕΘΑ,57,ΕΤΑ/1ο ΣΤΟΙΧΕΙΟ ΕΣΕΑ,11682,KINHTO
ΓΕΕΘΑ,58,ΕΤΑ/ΧΕΙΡΙΣΤΗΣ ΣμηΕΑ,11683,KINHTO
ΓΕΕΘΑ,59,ΤΝΕΕ/ΔΚΤΗΣ,11975,KINHTO
ΓΕΕΘΑ,60,ΤΝΕΕ/ΥΔΚΤΗΣ,11976,KINHTO
ΓΕΕΘΑ,61,ΤΝΕΕ/ΤΜΧΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,11977,KINHTO
ΓΕΕΘΑ,62,ΤΝΕΕ/ΤΜΧΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,11978,KINHTO
ΓΕΕΘΑ,63,ΤΝΕΕ/ΕΠΙΚΕΦΑΛΗΣ ΟΑΠ 1,11979,KINHTO
ΓΕΕΘΑ,64,ΤΝΕΕ/ΒΟΗΘΟΣ ΟΜΑΔΑΡΧΗ ΟΑΠ 1,11980,KINHTO
ΓΕΕΘΑ,65,ΤΝΕΕ/ΕΠΙΚΕΦΑΛΗΣ ΟΑΠ 2,11981,KINHTO
ΓΕΕΘΑ,66,ΤΝΕΕ/ΒΟΗΘΟΣ ΟΜΑΔΑΡΧΗ ΟΑΠ 2,11982,KINHTO
ΓΕΕΘΑ,67,ΤΝΕΕ/ΧΕΙΡ. ΠΛΩΤΩΝ ΜΕΣΩΝ ΟΑΠ 1,11983,KINHTO
ΓΕΕΘΑ,68,ΤΝΕΕ/ΧΕΙΡ. ΠΛΩΤΩΝ ΜΕΣΩΝ ΟΑΠ 2,11984,KINHTO
ΓΕΕΘΑ,69,ΜΑΕΕ/ΥΔΚΤΗΣ,11995,KINHTO
ΓΕΕΘΑ,70,ΜΑΕΕ/ΑΙΘΟΥΣΑ ΕΠΙΧΕΙΡΗΣΕΩΝ,11996,KINHTO
ΓΕΕΘΑ,71,ΜΑΕΕ/ΚΥΒΕΡΝΗΤΗΣ 1ου Ε/Π ΝΗ-90,11997,KINHTO
ΓΕΕΘΑ,72,ΜΑΕΕ/ΚΥΒΕΡΝΗΤΗΣ 2ου Ε/Π ΝΗ-90,11998,KINHTO
ΓΕΕΘΑ,73,ΜΑΕΕ/ΚΥΒΕΡΝΗΤΗΣ 1ου Ε/Π CH-47,11999,KINHTO
ΓΕΕΘΑ,74,ΜΑΕΕ/ΚΥΒΕΡΝΗΤΗΣ 2ου Ε/Π CH-47,11684,KINHTO
ΓΕΕΘΑ,75,ΚΕΠΙΧ,10108,H/Y - TRACK HARP
ΓΕΕΘΑ,76,MAEE,11385,H/Y
ΓΕΕΘΑ,77,865 ΤΕΝΕΦ/ΚΕΠΙΧ,11801,H/Y - TRACK HARP
ΓΕΕΘΑ,78,ΔΕΠ/ΥΔΚΤΗΣ,10107,KINHTO
ΓΕΕΘΑ,79,ΔΕΠ/ΔΝΤΗΣ 2ου ΕΓ,11458,KINHTO
ΓΕΕΘΑ,80,ΔΕΠ/ΔΝΤΗΣ 3ου ΕΓ,11629,KINHTO
ΓΕΕΘΑ,81,ΔΕΠ/ΕΠΧΗΣ,11212,KINHTO
ΓΕΕΘΑ,82,ΠΒΚ/ΔΙΕΥΘΥΝΤΗΣ Α ΚΛΑΔΟΥ,11387,H/Y
ΓΕΕΘΑ,83,ΠΒΚ/ΔΙΕΥΘΥΝΣΗ ΑΣΦΑΛΕΙΑΣ ΒΟΛΩΝ,11448,H/Y
ΓΕΕΘΑ,84,ΠΒΚ/ΣΤΑΘΜΟΣ ΡΑΝΤΑΡ 2(ΒΑΣΙΛΙΚΟ),11804,H/Y
ΓΕΕΘΑ,85,ΠΒΚ/ΣΤΑΘΜΟΣ ΡΑΝΤΑΡ 4 (ΘΗΡΑ),11808,H/Y
ΓΕΕΘΑ,86,ΠΒΚ/ΣΤΑΘΜΟΣ ΡΑΝΤΑΡ 5 (ΣΤΑΥΡΟΣ),11805,H/Y
ΓΕΕΘΑ,87,ΠΒΚ/ΣΤΑΘΜΟΣ ΡΑΝΤΑΡ 6 (ΔΡΑΠΑΝΟ),11806,H/Y
ΓΕΕΘΑ,88,ΠΒΚ/ΙΑΤΡΟΣ,11807,H/Y
ΓΕΕΘΑ,89,ΠΒΚ/Range Cntrl Building (RCB),11802,H/Y
ΓΕΕΘΑ,90,ΠΒΚ/ΓΡΑΜΜΑΤΕΙΑ Α ΚΛΑΔΟΥ,11699,H/Y
ΓΕΕΘΑ,91,ΠΒΚ/ΠΥΡΟΒΟΛΑΡΧΙΑ ΑΣΦΑΛΕΙΑΣ,11447,H/Y
ΓΕΣ,1,ΑΡΧΗΓΟΣ ΓΕΣ,11100,KINHTO
ΓΕΣ,2,ΓΕΠΣ,11101,KINHTO
ΓΕΣ,3,ΕΠΙΤΕΛΑΡΧΗΣ ΓΕΣ,11102,KINHTO
ΓΕΣ,4,ΥΠΑΡΧΗΓΟΣ ΓΕΣ,11103,KINHTO
ΓΕΣ,5,Α΄ ΚΛ ΔΝΤΗΣ ΓΕΣ,11104,KINHTO
ΓΕΣ,6,ΔΝΤΗΣ ΔΙΠΑ,11105,KINHTO
ΓΕΣ,7,ΕΓΑ ΓΕΣ,11106,KINHTO
ΓΕΣ,8,ΣΥΝΤΟΝΙΣΤΗΣ ΓΕΣ,11110,KINHTO
ΓΕΣ,9,ΓΕΣ / ΚΕΠΙΧ,10111,H/Y
ΓΕΣ,10,ΓΕΣ/ΔΔΒ-ΕΠ/ΔΝΤΗΣ,11107,KINHTO
ΓΕΣ,11,ΓΕΣ/ΔΔΒ-ΕΠ/3Ε,20222,H/Y
ΓΕΣ,12,ΓΕΣ/ΔΔΒ-ΕΠ/3Ε,11328,KINHTO
ΓΕΣ,13,ΓΕΣ/ΔΔΒ-ΕΠ/3ο/ΔΝΤΗΣ,20210,KINHTO
ΓΕΣ,14,ΦΥΛΑΚΙΟ ΠΑΡΝΗΘΑΣ,11741,KINHTO
ΓΕΣ,15,ΓΕΣ/ΚΕΠΙΚ 2,20109,KINHTO - TRACK HARP
ΓΕΣ,16,HELP DESK ΓΕΣ,20212,H/Y - TRACK HARP
ΓΕΣ,17,ΓΕΣ HELP DESK 2,20230,H/Y
ΓΕΣ,18,TEST PC VM,20300,H/Y
ΓΕΣ,19,ΓΕΣ/ΚΕΠΙΚ 1,12215,KINHTO
ΓΕΣ,20,ΔΟΥΡΕΙΟΣ ΙΠΠΟΣ 1,11564,KINHTO
ΓΕΣ,21,ΔΟΥΡΕΙΟΣ ΙΠΠΟΣ 2,11565,KINHTO
ΓΕΣ,22,ΔΟΥΡΕΙΟΣ ΙΠΠΟΣ 3,11011,KINHTO
1η ΣΤΡΑΤΙΑ,1,1η ΣΤΡΑΤΙΑ/ΔΚΤΗΣ,11200,KINHTO
1η ΣΤΡΑΤΙΑ,2,1 ΣΤΡΑΤΙΑ/ΥΔΚΤΗΣ,11202,KINHTO
1η ΣΤΡΑΤΙΑ,3,1 ΣΤΡΑΤΙΑ/ΕΠΧΗΣ,11201,KINHTO
1η ΣΤΡΑΤΙΑ,4,1η ΣΤΡΑΤΙΑ/ΑΞΚΟΣ ΣΥΝΔ/ΜΟΣ «Δ3»,11214,KINHTO
1η ΣΤΡΑΤΙΑ,5,1 ΣΤΡΑΤΙΑ/ΚΕΠΙΧ,11211,H/Y - TRACK HARP
1η ΣΤΡΑΤΙΑ,6,1η ΣΤΡΑΤΙΑ/KΕΠΙΚ,11213,H/Y - TRACK HARP
1η ΣΤΡΑΤΙΑ,7,1η ΣΤΡΑΤΙΑ/ΔΔΒ-Π/ΔΚΤΗΣ,11330,KINHTO
1η ΣΤΡΑΤΙΑ,8,1η ΣΤΡΑΤΙΑ/ΚΕΠΙΧ 1,11631,H/Y
1η ΣΤΡΑΤΙΑ,9,1 ΣΤΡΑΤΙΑ Κ,11445,H/Y - TRACK HARP
1η ΣΤΡΑΤΙΑ,10,ΣΤΡΑΤΙΑ 61,10100,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,11,ΣΤΡΑΤΙΑ 62,10101,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,12,ΣΤΡΑΤΙΑ 63,10102,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,13,ΣΤΡΑΤΙΑ 1,10103,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,14,ΣΤΡΑΤΙΑ 2,10104,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,15,ΣΤΡΑΤΙΑ 3,10105,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,16,ΣΤΡΑΤΙΑ 4,10106,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,17,ΣΤΡΑΤΙΑ 5,10109,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,18,ΣΤΡΑΤΙΑ 6,10110,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,19,ΣΤΡΑΤΙΑ 7,10112,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,20,ΣΤΡΑΤΙΑ 8,10113,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,21,ΣΤΡΑΤΙΑ 9,10114,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,22,ΣΤΡΑΤΙΑ 10,10115,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,23,ΣΤΡΑΤΙΑ 11,11302,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,24,ΣΤΡΑΤΙΑ 12,11303,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,25,ΣΤΡΑΤΙΑ 13,11311,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,26,ΣΤΡΑΤΙΑ 14,11312,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,27,ΣΤΡΑΤΙΑ 15,11313,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,28,ΣΤΡΑΤΙΑ 16,11314,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,29,ΣΤΡΑΤΙΑ 17,11315,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,30,ΣΤΡΑΤΙΑ 18,11348,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,31,ΣΤΡΑΤΙΑ 19,11386,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,32,ΣΤΡΑΤΙΑ 20,11402,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,33,ΣΤΡΑΤΙΑ 21,11476,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,34,ΣΤΡΑΤΙΑ 22,11477,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,35,ΣΤΡΑΤΙΑ 23,11554,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,36,ΣΤΡΑΤΙΑ 24,11555,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,37,ΣΤΡΑΤΙΑ 25,11602,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,38,ΣΤΡΑΤΙΑ 26,11678,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,39,ΣΤΡΑΤΙΑ 27,12214,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,40,ΣΤΡΑΤΙΑ 28,11764,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,41,ΣΤΡΑΤΙΑ 29,12212,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,42,ΣΤΡΑΤΙΑ 30,12213,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,43,ΣΤΡΑΤΙΑ 31,12216,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,44,ΣΤΡΑΤΙΑ 32,12610,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,45,ΣΤΡΑΤΙΑ 33,13000,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,46,ΣΤΡΑΤΙΑ 34,20101,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,47,ΣΤΡΑΤΙΑ 35,20104,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,48,ΣΤΡΑΤΙΑ 36,11204,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,49,ΣΤΡΑΤΙΑ 37,11205,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,50,ΣΤΡΑΤΙΑ 38,11206,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,51,ΣΤΡΑΤΙΑ 39,11207,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,52,ΣΤΡΑΤΙΑ 40,11208,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,53,ΣΤΡΑΤΙΑ 41,11209,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,54,ΣΤΡΑΤΙΑ 42,11210,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,55,ΣΤΡΑΤΙΑ 43,11215,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,56,ΣΤΡΑΤΙΑ 44,11216,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,57,ΣΤΡΑΤΙΑ 45,11217,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,58,ΣΤΡΑΤΙΑ 46,11218,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,59,ΣΤΡΑΤΙΑ 47,11219,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,60,ΣΤΡΑΤΙΑ 48,11220,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,61,ΣΤΡΑΤΙΑ 49,11221,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,62,ΣΤΡΑΤΙΑ 50,11222,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,63,ΣΤΡΑΤΙΑ 51,11223,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,64,ΣΤΡΑΤΙΑ 52,11224,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,65,ΣΤΡΑΤΙΑ 53,11225,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,66,ΣΤΡΑΤΙΑ 54,11226,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,67,ΣΤΡΑΤΙΑ 55,11227,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,68,ΣΤΡΑΤΙΑ 56,11228,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,69,ΣΤΡΑΤΙΑ 57,11229,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,70,ΣΤΡΑΤΙΑ 58,11230,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,71,ΣΤΡΑΤΙΑ 59,11231,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,72,ΣΤΡΑΤΙΑ 60,11232,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,73,1η ΤΑΞΑΣ/ΔΚΤΗΣ,11720,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,74,1η ΤΑΞΑΣ/ΥΔΚΤΗΣ,11721,KINHTO
1η ΣΤΡΑΤΙΑ,75,1ο ΤΕΕΠ/ΔΚΤΗΣ,11778,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,76,1ο ΤΕΕΠ/ΤΧΕ,11797,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,77,2ο ΤΕΕΠ/ΤΧΕ,11798,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,78,1ο ΤΕΑΣ/ΔΚΤΗΣ,11793,KINHTO
1η ΣΤΡΑΤΙΑ,79,1ο ΤΕΑΣ/ΤΧΕ,11799,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,80,1 ΤΑΞΑΣ/ΚΕΠΙΧ,11729,H/Y
1η ΣΤΡΑΤΙΑ,81,3ο ΤΕΑΣ/ΔΚΤΗΣ,11795,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,82,3ο ΤΕΑΣ/ΤΧΕ,11723,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,83,2o ΣΥΑΣ/ΔΚΤΗΣ,11777,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,84,2ο ΤΕΑΣ/ΔΚΤΗΣ,11794,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,85,2ο ΤΕΑΣ/ΤΧΕ,11722,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,86,4ο ΤΕΑΣ/ΔΚΤΗΣ,11796,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,87,4ο ΤΕΑΣ/ΤΧΕ,11724,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,88,2ο ΤΕΕΠ/ΔΚΤΗΣ,11779,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,89,1η ΤΑΞΑΣ/ ΠΡΟΚΕΧ. ΤΜΗΜΑ ΕΕ/Π,11329,KINHTO
1η ΣΤΡΑΤΙΑ,90,Ε.Ε/Π 1 NSE/eNRF,11744,KINHTO
1η ΣΤΡΑΤΙΑ,91,Ε.Ε/Π 2 NSE/eNRF,11745,KINHTO
1η ΣΤΡΑΤΙΑ,92,1ο ΤΕΕΠ/ΔΔ,11535,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,93,1ο ΤΕΕΠ/ΔΔ2,11536,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,94,2ο ΤΕΕΠ/ΔΔ,11537,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,95,2ο ΤΕΕΠ/ΔΔ2,11538,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,96,1ο ΤΕΑΣ/ΔΔ2,11543,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,97,2ο ΤΕΑΣ/ΔΔ,11544,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,98,3ο ΤΕΑΣ/ΔΔ,11545,KINHTO - TRACK HARP
1η ΣΤΡΑΤΙΑ,99,4ο ΤΕΑΣ/ΔΔ,11546,KINHTO - TRACK HARP
ΓΣΣ,1,10 ΣΠ/ΚΕΠΙΧ,11659,H/Y
ΓΣΣ,2,10 ΣΠ/ΔΚΤΗΣ,11650,KINHTO
ΓΣΣ,3,ΔΚΤΗΣ ΔΑΑΑ 10 ΣΠ,11661,KINHTO
ΓΣΣ,4,ΔΑΑΑ 518 Μ/Π,11907,KINHTO
ΓΣΣ,5,34 Μ/Κ ΤΑΞ/ΔΚΤΗΣ,11690,KINHTO
ΓΣΣ,6,34 Μ/Κ ΤΑΞ/ΔΥΝΑΜΗ «Δ»,11698,KINHTO
ΓΣΣ,7,ΔΚΤΗΣ ΔΑΑΑ 34 Μ/Κ ΤΑΞ,11692,KINHTO
ΓΣΣ,8,34 Μ/Κ ΤΑΞ/ΚΕΠΙΧ,11691,H/Y
ΓΣΣ,9,34 Μ/Κ ΤΑΞ/ΣΥΝΤΟΝΙΣΤΗΣ ΚΕΠΙΧ,11903,KINHTO
ΓΣΣ,10,Διμοιρίτης Α/Τ (nato BG),11633,KINHTO
ΓΣΣ,11,Β. Διμοιρίτης Α/Τ (nato BG),11634,KINHTO
ΓΣΣ,12,Ιατρός Α/Τ (nato BG),11635,KINHTO
ΓΣΣ,13,Δρίτης Α/Τ (nato BG) Laptop,11636,H/Y
ΓΣΣ,14,ΕΛΔΥΒΕ/ΔΚΤΗΣ NSE,11113,KINHTO - TRACK HARP
ΓΣΣ,15,ΕΛΔΥΒΕ/ΔΡΙΤΗΣ 1ης ΔΡΙΑΣ,11114,KINHTO - TRACK HARP
ΓΣΣ,16,ΕΛΔΥΒΕ/ΔΡΙΤΗΣ 2ης ΔΡΙΑΣ,11115,KINHTO - TRACK HARP
ΓΣΣ,17,ΕΛΔΥΒΕ/ΕΦΕΔΡΙΚΟ,20100,KINHTO - TRACK HARP
ΓΣΣ,18,ΕΛΔΥΒΕ/ΔΚΤΗΣ,11112,KINHTO - TRACK HARP
ΓΣΣ,19,EUMAM MOZ,11109,KINHTO - TRACK HARP
ΓΣΣ,20,II Μ/Κ ΜΠ/ΔΚΤΗΣ,11670,KINHTO
